data.id	seg.size	status	RMS
c0_xy	257	1	-1
c0_xy	293	0	0.209169
c0_xy	218	0	0.174307
c0_xy	262	1	-1
c0_xy	308	1	-1
c0_xy	231	0	0.280872
c0_xy	167	1	-1
c0_xy	239	1	-1
c0_xy	252	1	-1
c0_xy	239	0	0.177759
c0_xy	291	0	0.209769
c0_xy	312	1	-1
c0_xy	361	1	-1
c0_xy	239	0	0.21771
c0_xy	158	1	-1
c0_xy	291	1	-1
c0_xy	313	1	-1
c0_xy	315	0	0.297462
c0_xy	206	1	-1
c0_xy	178	0	0.237541
c0_xy	260	1	-1
c0_xy	227	1	-1
c0_xy	272	1	-1
